Año,total_atenciones,n_registros,crecimiento_anual
2009,103647922.0,1183667,
2010,117239999.0,1274885,13.113699471948891
2011,147047328.0,1487434,25.424197589766262
2012,177694743.0,1616654,20.841871400750644
2013,145608545.0,1680044,-18.05692023201835
2014,208540898.0,2009467,43.22023340045049
2015,194904245.0,1900852,-6.539078488095895
2016,133987627.0,1723057,-31.25463891255934
2017,211215369.0,2013316,57.6379653324258
2018,301590731.0,2245360,42.78825088717857
2019,309991292.0,2952548,2.785417500115406
2020,244751976.0,2529062,-21.045531820939022
2021,233708510.0,2384496,-4.5121049400638995
