Año,TipoAtencion,atenciones_no_def,total_atenciones,pct_no_def
2009,CONSULTAS,0.0,45458930.0,0.0
2009,HOSPITALIZACIONES,0.0,743772.0,0.0
2009,PROCEDIMIENTOS DE SALUD,32286560.0,55847224.0,57.81
2009,URGENCIAS,0.0,1597996.0,0.0
2010,CONSULTAS,0.0,44660894.0,0.0
2010,HOSPITALIZACIONES,0.0,674324.0,0.0
2010,PROCEDIMIENTOS DE SALUD,36498261.0,69834496.0,52.26
2010,URGENCIAS,0.0,2070285.0,0.0
2011,CONSULTAS,0.0,59344164.0,0.0
2011,HOSPITALIZACIONES,0.0,1238212.0,0.0
2011,PROCEDIMIENTOS DE SALUD,43511250.0,84117279.0,51.73
2011,URGENCIAS,0.0,2347673.0,0.0
2012,CONSULTAS,0.0,71841475.0,0.0
2012,HOSPITALIZACIONES,0.0,1221186.0,0.0
2012,PROCEDIMIENTOS DE SALUD,50668690.0,100978556.0,50.18
2012,URGENCIAS,0.0,3653526.0,0.0
2013,CONSULTAS,0.0,60697387.0,0.0
2013,HOSPITALIZACIONES,0.0,1061236.0,0.0
2013,PROCEDIMIENTOS DE SALUD,37147991.0,79764537.0,46.57
2013,URGENCIAS,0.0,4085385.0,0.0
2014,CONSULTAS,2.0,83242436.0,0.0
2014,HOSPITALIZACIONES,0.0,1683721.0,0.0
2014,PROCEDIMIENTOS DE SALUD,60165571.0,118688481.0,50.69
2014,URGENCIAS,0.0,4926260.0,0.0
2015,CONSULTAS,1.0,70742307.0,0.0
2015,HOSPITALIZACIONES,0.0,1362253.0,0.0
2015,PROCEDIMIENTOS DE SALUD,56578299.0,118629881.0,47.69
2015,URGENCIAS,0.0,4169804.0,0.0
2016,CONSULTAS,0.0,48138131.0,0.0
2016,HOSPITALIZACIONES,0.0,760086.0,0.0
2016,PROCEDIMIENTOS DE SALUD,42508731.0,82255090.0,51.68
2016,URGENCIAS,0.0,2834320.0,0.0
2017,CONSULTAS,0.0,70787639.0,0.0
2017,HOSPITALIZACIONES,0.0,1118536.0,0.0
2017,PROCEDIMIENTOS DE SALUD,59371734.0,135665638.0,43.76
2017,URGENCIAS,0.0,3643556.0,0.0
2018,CONSULTAS,0.0,97777900.0,0.0
2018,HOSPITALIZACIONES,0.0,1431281.0,0.0
2018,PROCEDIMIENTOS DE SALUD,69303242.0,198879091.0,34.85
2018,URGENCIAS,0.0,3502459.0,0.0
2019,CONSULTAS,0.0,120620548.0,0.0
2019,HOSPITALIZACIONES,0.0,2299305.0,0.0
2019,PROCEDIMIENTOS DE SALUD,68872670.0,182422090.0,37.75
2019,URGENCIAS,0.0,4649349.0,0.0
2020,CONSULTAS,32.0,90332031.0,0.0
2020,HOSPITALIZACIONES,14.0,2465617.0,0.0
2020,PROCEDIMIENTOS DE SALUD,49666621.0,148248056.0,33.5
2020,URGENCIAS,74.0,3706272.0,0.0
2021,CONSULTAS,0.0,87583641.0,0.0
2021,HOSPITALIZACIONES,0.0,1455748.0,0.0
2021,PROCEDIMIENTOS DE SALUD,48268658.0,141918190.0,34.01
2021,URGENCIAS,0.0,2750931.0,0.0
