Año,nombre_departamento,nombre_municipio,TipoAtencion,Diagnostico,NumeroAtenciones,es_no_definido
2018,"Bogotá, D.C.","Bogotá, D.C.",PROCEDIMIENTOS DE SALUD,1 - NO DEFINIDO,18619651,True
2019,"Bogotá, D.C.","Bogotá, D.C.",PROCEDIMIENTOS DE SALUD,1 - NO DEFINIDO,18296859,True
2020,,,PROCEDIMIENTOS DE SALUD,1 - NO DEFINIDO,14755461,True
2014,"Bogotá, D.C.","Bogotá, D.C.",PROCEDIMIENTOS DE SALUD,1 - NO DEFINIDO,14657840,True
2018,,,PROCEDIMIENTOS DE SALUD,1 - NO DEFINIDO,13914501,True
2012,"Bogotá, D.C.","Bogotá, D.C.",PROCEDIMIENTOS DE SALUD,1 - NO DEFINIDO,12397560,True
2015,"Bogotá, D.C.","Bogotá, D.C.",PROCEDIMIENTOS DE SALUD,1 - NO DEFINIDO,11144287,True
2018,"Bogotá, D.C.","Bogotá, D.C.",PROCEDIMIENTOS DE SALUD,R688 - OTROS SINTOMAS Y SIGNOS GENERALES ESPECIFICADOS,11048086,False
2009,"Bogotá, D.C.","Bogotá, D.C.",PROCEDIMIENTOS DE SALUD,1 - NO DEFINIDO,10508759,True
2016,"Bogotá, D.C.","Bogotá, D.C.",PROCEDIMIENTOS DE SALUD,1 - NO DEFINIDO,9836354,True
2017,"Bogotá, D.C.","Bogotá, D.C.",PROCEDIMIENTOS DE SALUD,1 - NO DEFINIDO,9709079,True
2011,"Bogotá, D.C.","Bogotá, D.C.",PROCEDIMIENTOS DE SALUD,1 - NO DEFINIDO,8995209,True
2013,"Bogotá, D.C.","Bogotá, D.C.",PROCEDIMIENTOS DE SALUD,1 - NO DEFINIDO,8194707,True
2015,Valle del Cauca,Cali,PROCEDIMIENTOS DE SALUD,1 - NO DEFINIDO,7388179,True
2016,Valle del Cauca,Cali,PROCEDIMIENTOS DE SALUD,1 - NO DEFINIDO,6437450,True
2021,,,PROCEDIMIENTOS DE SALUD,1 - NO DEFINIDO,6371471,True
2017,Valle del Cauca,Cali,PROCEDIMIENTOS DE SALUD,1 - NO DEFINIDO,6251354,True
2014,Valle del Cauca,Cali,PROCEDIMIENTOS DE SALUD,1 - NO DEFINIDO,6046810,True
2017,,,PROCEDIMIENTOS DE SALUD,1 - NO DEFINIDO,5622209,True
2011,Valle del Cauca,Cali,PROCEDIMIENTOS DE SALUD,1 - NO DEFINIDO,5330600,True
