Año,Diagnostico,total_atenciones,rn
2009,I10X - HIPERTENSION ESENCIAL (PRIMARIA),4224148.0,1
2009,Z000 - EXAMEN MEDICO GENERAL,2639328.0,2
2009,K021 - CARIES DE LA DENTINA,2107293.0,3
2009,Z001 - CONTROL DE SALUD DE RUTINA DEL NIÑO,1830302.0,4
2009,"N390 - INFECCION DE VIAS URINARIAS, SITIO NO ESPECIFICADO",1379324.0,5
2010,I10X - HIPERTENSION ESENCIAL (PRIMARIA),5992068.0,1
2010,Z000 - EXAMEN MEDICO GENERAL,3166254.0,2
2010,Z017 - EXAMEN DE LABORATORIO,2936252.0,3
2010,K021 - CARIES DE LA DENTINA,2119876.0,4
2010,Z001 - CONTROL DE SALUD DE RUTINA DEL NIÑO,1815736.0,5
2011,I10X - HIPERTENSION ESENCIAL (PRIMARIA),7724125.0,1
2011,Z017 - EXAMEN DE LABORATORIO,4112203.0,2
2011,Z000 - EXAMEN MEDICO GENERAL,3850613.0,3
2011,K021 - CARIES DE LA DENTINA,3321010.0,4
2011,R688 - OTROS SINTOMAS Y SIGNOS GENERALES ESPECIFICADOS,2214670.0,5
2012,I10X - HIPERTENSION ESENCIAL (PRIMARIA),8421949.0,1
2012,K021 - CARIES DE LA DENTINA,6968365.0,2
2012,Z000 - EXAMEN MEDICO GENERAL,4317188.0,3
2012,Z012 - EXAMEN ODONTOLOGICO,3064099.0,4
2012,Z768 - PERSONA EN CONTACTO CON LOS SERVICIOS DE SALUD EN OTRAS CIRCUNSTANCIAS ESPECIFICADAS,2146187.0,5
2013,I10X - HIPERTENSION ESENCIAL (PRIMARIA),6235071.0,1
2013,K021 - CARIES DE LA DENTINA,4563766.0,2
2013,Z017 - EXAMEN DE LABORATORIO,4446321.0,3
2013,Z000 - EXAMEN MEDICO GENERAL,3700292.0,4
2013,R688 - OTROS SINTOMAS Y SIGNOS GENERALES ESPECIFICADOS,2670371.0,5
2014,I10X - HIPERTENSION ESENCIAL (PRIMARIA),6651171.0,1
2014,Z017 - EXAMEN DE LABORATORIO,5606338.0,2
2014,"Z519 - ATENCION MEDICA, NO ESPECIFICADA",5602084.0,3
2014,K021 - CARIES DE LA DENTINA,5528814.0,4
2014,Z000 - EXAMEN MEDICO GENERAL,3796558.0,5
2015,I10X - HIPERTENSION ESENCIAL (PRIMARIA),8003428.0,1
2015,Z000 - EXAMEN MEDICO GENERAL,6407294.0,2
2015,Z017 - EXAMEN DE LABORATORIO,4972748.0,3
2015,K021 - CARIES DE LA DENTINA,3344365.0,4
2015,R688 - OTROS SINTOMAS Y SIGNOS GENERALES ESPECIFICADOS,3043447.0,5
2016,I10X - HIPERTENSION ESENCIAL (PRIMARIA),4608329.0,1
2016,K021 - CARIES DE LA DENTINA,3411163.0,2
2016,Z000 - EXAMEN MEDICO GENERAL,3216125.0,3
2016,Z017 - EXAMEN DE LABORATORIO,2114919.0,4
2016,R688 - OTROS SINTOMAS Y SIGNOS GENERALES ESPECIFICADOS,2075683.0,5
2017,R688 - OTROS SINTOMAS Y SIGNOS GENERALES ESPECIFICADOS,15383928.0,1
2017,I10X - HIPERTENSION ESENCIAL (PRIMARIA),9243342.0,2
2017,Z000 - EXAMEN MEDICO GENERAL,8327457.0,3
2017,K021 - CARIES DE LA DENTINA,5387739.0,4
2017,Z017 - EXAMEN DE LABORATORIO,5025689.0,5
2018,R688 - OTROS SINTOMAS Y SIGNOS GENERALES ESPECIFICADOS,29411520.0,1
2018,Z000 - EXAMEN MEDICO GENERAL,12657837.0,2
2018,I10X - HIPERTENSION ESENCIAL (PRIMARIA),11114792.0,3
2018,Z017 - EXAMEN DE LABORATORIO,9520749.0,4
2018,K021 - CARIES DE LA DENTINA,7618307.0,5
2019,I10X - HIPERTENSION ESENCIAL (PRIMARIA),15260681.0,1
2019,Z000 - EXAMEN MEDICO GENERAL,11749728.0,2
2019,R688 - OTROS SINTOMAS Y SIGNOS GENERALES ESPECIFICADOS,10841069.0,3
2019,K021 - CARIES DE LA DENTINA,7928405.0,4
2019,Z012 - EXAMEN ODONTOLOGICO,7240481.0,5
2020,I10X - HIPERTENSION ESENCIAL (PRIMARIA),16927693.0,1
2020,Z000 - EXAMEN MEDICO GENERAL,11238370.0,2
2020,R688 - OTROS SINTOMAS Y SIGNOS GENERALES ESPECIFICADOS,6500099.0,3
2020,"U072 - COVID-19, VIRUS NO IDENTIFICADO",5547340.0,4
2020,Z017 - EXAMEN DE LABORATORIO,4901875.0,5
2021,Z000 - EXAMEN MEDICO GENERAL,11848699.0,1
2021,I10X - HIPERTENSION ESENCIAL (PRIMARIA),11453044.0,2
2021,Z017 - EXAMEN DE LABORATORIO,8931625.0,3
2021,R688 - OTROS SINTOMAS Y SIGNOS GENERALES ESPECIFICADOS,6590370.0,4
2021,Z012 - EXAMEN ODONTOLOGICO,5852291.0,5
