Diagnostico,total_atenciones,n_registros,pct_atenciones
I10X - HIPERTENSION ESENCIAL (PRIMARIA),115859841.0,31363,4.58
Z000 - EXAMEN MEDICO GENERAL,86915743.0,23990,3.44
R688 - OTROS SINTOMAS Y SIGNOS GENERALES ESPECIFICADOS,85491871.0,24432,3.38
K021 - CARIES DE LA DENTINA,61312190.0,18490,2.42
Z017 - EXAMEN DE LABORATORIO,61010290.0,14174,2.41
Z012 - EXAMEN ODONTOLOGICO,41652938.0,16520,1.65
Z001 - CONTROL DE SALUD DE RUTINA DEL NIÑO,29456681.0,16561,1.16
R104 - OTROS DOLORES ABDOMINALES Y LOS NO ESPECIFICADOS,25633927.0,33005,1.01
Z768 - PERSONA EN CONTACTO CON LOS SERVICIOS DE SALUD EN OTRAS CIRCUNSTANCIAS ESPECIFICADAS,25109049.0,8410,0.99
"N390 - INFECCION DE VIAS URINARIAS, SITIO NO ESPECIFICADO",24052657.0,32842,0.95
